0.19,30.73,0.19,54.96425691
0.308,32.57,0.308,35.98159085
0.503,34.85,0.503,21.28532868
0.021,25.14,0.021,199.1041723
0.032,26.21,0.032,155.6253571
0.054,27.43,0.054,117.5114975
0.086,28.59,0.086,89.96640379
0.132,30,0.132,65.025
0.211,31.53,0.211,45.7172776
0.315,33.53,0.315,28.84565207
0.479,35.59,0.479,17.95065751
0.022,22.34,0.022,379.3851791
0.039,23.23,0.039,309.0867307
0.071,24.25,0.071,244.3882721
0.123,25.31,0.123,191.4610167
0.206,26.55,0.206,143.9064835
0.348,28.19,0.348,98.64620014
0.531,30.12,0.531,63.25288823
0.822,32.32,0.822,38.11363415
0.02,22.7,0.02,349.2049256
0.034,24.1,0.034,252.9766055
0.057,25.36,0.057,189.2693806
0.091,26.81,0.091,135.5440197
0.143,28.31,0.143,95.95781733
0.24,29.71,0.24,69.51529352
0.369,31.67,0.369,44.26702755
0.582,33.82,0.582,26.98238662
0.016,25.75,0.016,173.013647
0.025,26.86,0.025,133.9924601
0.042,27.85,0.042,106.67935
0.066,29.45,0.066,73.80407829
0.102,30.52,0.102,57.68731968
0.168,32.19,0.168,39.27175963
0.257,34.13,0.257,25.12351268
0.404,36.27,0.404,15.34900971
0.021,22.79,0.021,342.0427275
0.035,23.77,0.035,272.9482793
0.06,24.82,0.06,214.3287153
0.101,26.09,0.101,159.9854035
0.164,27.48,0.164,116.1663546
0.267,29.23,0.267,77.63907649
0.408,31.12,0.408,50.24355505
0.634,33.56,0.634,28.64708
0.017,24.59,0.017,225.985389
0.028,25.54,0.028,181.5851633
0.048,26.4,0.048,148.9636691
0.084,27.51,0.084,115.366671
0.138,28.66,0.138,88.52794048
0.242,30.09,0.242,63.6913363
0.383,31.84,0.383,42.56771722
0.617,34.02,0.617,25.76797918
0.018,26.95,0.018,131.2442728
0.026,28.43,0.026,93.3427004
0.041,29.96,0.041,65.62666892
0.059,31.34,0.059,47.76176428
0.087,32.94,0.087,33.04306775
0.136,34.72,0.136,21.93210725
0.197,36.54,0.197,14.42382222
0.287,38.36,0.287,9.485939727
0.025,21.69,0.025,440.6363903
0.042,22.58,0.042,358.9883549
0.075,23.47,0.075,292.4693506
0.131,24.6,0.131,225.465637
0.216,25.89,0.216,167.5252832
0.36,27.67,0.36,111.1937459
0.554,29.71,0.554,69.51529352
0.849,32.21,0.849,39.09132228
