image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
22,0.026,0.01,28.43,0.9097,93.3427004
22,0.041,0.02,29.96,0.9364,65.6266689
22,0.059,0.02,31.34,0.9474,47.7617643
22,0.087,0.03,32.94,0.9651,33.0430678
22,0.136,0.05,34.72,0.9762,21.9321072
22,0.197,0.07,36.54,0.9854,14.4238222
22,0.287,0.11,38.36,0.9898,9.4859397
23,0.025,0.01,21.69,0.7590,440.6363903
23,0.042,0.02,22.58,0.8159,358.9883549
23,0.075,0.03,23.47,0.8666,292.4693506
23,0.131,0.05,24.60,0.9046,225.4656370
23,0.216,0.08,25.89,0.9383,167.5252832
23,0.360,0.13,27.67,0.9618,111.1937459
23,0.554,0.21,29.71,0.9795,69.5152935
23,0.849,0.32,32.21,0.9885,39.0913223
